index,id,title,genres,overview,release_date,credits,poster_path
137,508947,Turning Red,Animation Family Comedy Fantasy,Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited she transforms into a giant red panda.,2022-03-10,RosalieChiang SandraOh AvaMorse HyeinPark MaitreyiRamakrishnan,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg
140,715931,Emancipation,Action Drama Thriller,Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter an enslaved man risks his life to escape and return to his family he embarks on a perilous journey of love and endurance.,2022-12-02,WillSmith BenFoster CharmaineBingwa StevenOgg GilbertOwuor,/s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg
141,536554,M3GAN,Science Fiction Horror,A brilliant toy company roboticist uses artificial intelligence to develop M3GAN a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well she becomes overprotective of her new friend with terrifying results.,2022-12-28,AllisonWilliams VioletMcGraw JennaDavis AmieDonald JenVanEpps,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg
144,453395,Doctor Strange in the Multiverse of Madness,Fantasy Action Adventure,Doctor Strange with the help of mystical allies both old and new traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.,2022-05-04,BenedictCumberbatch ElizabethOlsen ChiwetelEjiofor BenedictWong XochitlGomez,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg
146,830784,"Lyle, Lyle, Crocodile",Comedy Family Music,When the Primm family moves to New York City their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps the Primms must band together to show the world that family can come from the most unexpected places.,2022-10-07,ShawnMendes JavierBardem WinslowFegley ConstanceWu ScootMcNairy,/irIS5Tn3TXjNi1R9BpWvGAN4CZ1.jpg
147,458220,Palmer,Drama,After 12 years in prison former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.,2021-01-29,JustinTimberlake RyderAllen JunoTemple AlishaWainwright JuneSquibb,/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg
150,580489,Venom: Let There Be Carnage,Science Fiction Action Adventure,After finding a host body in investigative reporter Eddie Brock the alien symbiote must face a new enemy Carnage the alter ego of serial killer Cletus Kasady.,2021-09-30,TomHardy WoodyHarrelson MichelleWilliams NaomieHarris ReidScott,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg
154,882598,Smile,Horror Mystery Thriller,After witnessing a bizarre traumatic incident involving a patient Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life Rose must confront her troubling past in order to survive and escape her horrifying new reality.,2022-09-23,SosieBacon KyleGallner CaitlinStasey JessieT.Usher KalPenn,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg
155,8869,Eight Legged Freaks,Action Comedy Horror Thriller,The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople including the Sheriff's young son Mike her daughter Ashley and paranoid radio announcer Harlan into battle against the bloodthirsty eight-legged beasts.,2002-07-17,DavidArquette KariWuhrer DougE.Doug ScarlettJohansson RickOverton,/1hf7x6WmyXtL1MlY4eSlTbZ8Nzu.jpg
156,672,Harry Potter and the Chamber of Secrets,Adventure Fantasy,Cars fly trees fight back and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry Ron and Hermione’s magical abilities and courage.,2002-11-13,DanielRadcliffe RupertGrint EmmaWatson KennethBranagh JohnCleese,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg
159,717728,Jeepers Creepers: Reborn,Horror Thriller Mystery,Forced to travel with her boyfriend to a horror festival Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy she becomes the center of it while something unearthly has been summoned.,2022-09-15,SydneyCraven ImranAdams JarreauBenjamin MattBarkley PeterBrooke,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg
162,118340,Guardians of the Galaxy,Action Science Fiction Adventure,Light years from Earth 26 years after being abducted Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.,2014-07-30,ChrisPratt ZoeSaldaña DaveBautista VinDiesel BradleyCooper,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg
166,674,Harry Potter and the Goblet of Fire,Adventure Fantasy Family,When Harry Potter's name emerges from the Goblet of Fire he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament who did? Now Harry must confront a deadly dragon fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.,2005-11-16,DanielRadcliffe RupertGrint EmmaWatson RobbieColtrane RalphFiennes,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
167,585511,Luck,Animation Adventure Comedy Fantasy,Suddenly finding herself in the never-before-seen Land of Luck the unluckiest person in the world must unite with the magical creatures there to turn her luck around.,2022-08-05,EvaNoblezada SimonPegg JaneFonda WhoopiGoldberg FlulaBorg,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg
168,539681,DC League of Super-Pets,Animation Action Family Comedy Science Fiction,When Superman and the rest of the Justice League are kidnapped Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound PB the potbellied pig Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.,2022-07-27,DwayneJohnson KevinHart JohnKrasinski KeanuReeves KateMcKinnon,/r7XifzvtezNt31ypvsmb6Oqxw49.jpg
172,671,Harry Potter and the Philosopher's Stone,Adventure Fantasy,Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.,2001-11-16,DanielRadcliffe RupertGrint EmmaWatson RichardHarris TomFelton,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
180,808,Shrek,Animation Comedy Fantasy Adventure Family,It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon Shrek teams up with an unlikely compatriot -- a wisecracking donkey.,2001-05-18,MikeMyers EddieMurphy CameronDiaz JohnLithgow VincentCassel,/jhTVNBVkdS4Wf6NXYA9kRKQU3YM.jpg
182,852046,Athena,Drama,Hours after the tragic death of their youngest brother in unexplained circumstances three siblings have their lives thrown into chaos.,2022-09-09,DaliBenssalah AnthonyBajon AlexisManenti OuassiniEmbarek SamiSlimane,/s8B0GsFEebd0DW2spykLMxnc1Kn.jpg
183,767,Harry Potter and the Half-Blood Prince,Adventure Fantasy,As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end Dumbledore recruits his old friend and colleague Horace Slughorn whom he believes holds crucial information. Even as the decisive showdown looms romance blossoms for Harry Ron Hermione and their classmates. Love is in the air but danger lies ahead and Hogwarts may never be the same again.,2009-07-07,DanielRadcliffe RupertGrint EmmaWatson HelenaBonhamCarter JimBroadbent,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
184,12445,Harry Potter and the Deathly Hallows: Part 2,Fantasy Adventure,Harry Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.,2011-07-07,DanielRadcliffe RupertGrint EmmaWatson RalphFiennes AlanRickman,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg
185,836225,The Exorcism of God,Horror,An American priest working in Mexico is considered a saint by many local parishioners. However due to a botched exorcism he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.,2022-03-11,WillBeinbrink MaríaGabrieladeFaría IránCastillo JosephMarcell HectorKotsifakis,/9X9wKbF0ED1AQpgIkvq0MG4Y4wi.jpg
187,299534,Avengers: Endgame,Adventure Science Fiction Action,After the devastating events of Avengers: Infinity War the universe is in ruins due to the efforts of the Mad Titan Thanos. With the help of remaining allies the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all no matter what consequences may be in store.,2019-04-24,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson,/or06FN3Dka5tukK1e9sl16pB3iy.jpg
191,91314,Transformers: Age of Extinction,Science Fiction Action Adventure,"As humanity picks up the pieces following the conclusion of ""Transformers: Dark of the Moon"" Autobots and Decepticons have all but vanished from the face of the planet. However a group of powerful ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient powerful Transformer menace sets Earth in his cross-hairs.",2014-06-25,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltzBeckham JackReynor,/6lANYv3fDtvey3w5oFusyPK41Kl.jpg
192,338947,Hellraiser,Horror Mystery,A young woman struggling with addiction comes into possession of an ancient puzzle box unaware that its purpose is to summon the Cenobites a group of sadistic supernatural beings from another dimension.,2022-09-28,OdessaA'zion JamieClayton AdamFaison DrewStarkey BrandonFlynn,/f9ZAIUxTTk23vo1BC9Ur1Rx5c2E.jpg
195,438695,Sing 2,Animation Adventure Comedy Family,Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections he and his singers must sneak into the Crystal Entertainment offices run by the ruthless wolf mogul Jimmy Crystal where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.,2021-12-01,MatthewMcConaughey ReeseWitherspoon ScarlettJohansson TaronEgerton BobbyCannavale,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg
197,675,Harry Potter and the Order of the Phoenix,Adventure Fantasy Mystery,Returning for his fifth year of study at Hogwarts Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice Harry takes matters into his own hands training a small group of students to defend themselves against the dark arts.,2007-06-28,DanielRadcliffe RupertGrint EmmaWatson HelenaBonhamCarter RobbieColtrane,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg
198,768744,My Hero Academia: World Heroes' Mission,Animation Action Adventure Science Fiction,A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations that power will bring forth the end of humanity. In order to save everyone the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.,2021-08-06,DaikiYamashita NobuhikoOkamoto YukiKaji RyoYoshizawa KazuyaNakai,/AsTlA7dj2ySGY1pzGSD0MoHFhEF.jpg
204,851644,20th Century Girl,Romance Drama,Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend Pung Woon-ho first. However Bora's clumsy plan unfolds in an unexpected direction. In 1999 a year before the new century Bora who turns seventeen falls into the fever of first love.,2022-10-06,KimYou jung ByeonWoo seok ParkJung,/qhWPZdEEyht9Vqpj0vl3FB6CSr0.jpg
205,338953,Fantastic Beasts: The Secrets of Dumbledore,Fantasy Adventure Action,Professor Albus Dumbledore knows the powerful dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.,2022-04-06,EddieRedmayne JudeLaw MadsMikkelsen EzraMiller DanFogler,/jrgifaYeUtTnaH7NF5Drkgjg2MB.jpg
207,337167,Fifty Shades Freed,Drama Romance,Believing they have left behind shadowy figures from their past newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability new threats could jeopardize their happy ending before it even begins.,2018-01-17,DakotaJohnson JamieDornan EricJohnson LukeGrimes RitaOra,/9ZedQHPQVveaIYmDSTazhT3y273.jpg
208,744276,After Ever Happy,Romance Drama,As a shocking truth about a couple's families emerges the two lovers discover they are not so different from each other. Tessa is no longer the sweet simple good girl she was when she met Hardin — any more than he is the cruel moody boy she fell so hard for.,2022-08-24,JosephineLangford HeroFiennesTiffin LouiseLombard ChancePerdomo RobEstes,/6b7swg6DLqXCO3XUsMnv6RwDMW2.jpg
209,24428,The Avengers,Science Fiction Action Adventure,When an unexpected enemy emerges and threatens global safety and security Nick Fury director of the international peacekeeping agency known as S.H.I.E.L.D. finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe a daring recruitment effort begins!,2012-04-25,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
210,324552,John Wick: Chapter 2,Action Thriller Crime,John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him Wick travels to Rome and does battle against some of the world’s most dangerous killers.,2017-02-08,KeanuReeves Common IanMcShane LaurenceFishburne RiccardoScamarcio,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg
212,447362,Life in a Year,Drama Romance,A 17 year old finds out that his girlfriend is dying so he sets out to give her an entire life in the last year she has left.,2020-11-27,JadenSmith CaraDelevingne CubaGoodingJr. NiaLong RZA,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg
213,673,Harry Potter and the Prisoner of Azkaban,Adventure Fantasy,Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.,2004-05-31,DanielRadcliffe RupertGrint EmmaWatson RobbieColtrane MichaelGambon,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg
214,703771,Deathstroke: Knights & Dragons - The Movie,Animation Action Adventure Science Fiction,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,2020-08-04,MichaelChiklis SashaAlexander ChrisJaiAlex FayeMata GriffinPuatu,/vFIHbiy55smzi50RmF8LQjmpGcx.jpg
222,585083,Hotel Transylvania: Transformania,Animation Comedy Family Fantasy Adventure,"When Van Helsing's mysterious invention the ""Monsterfication Ray"" goes haywire Drac and his monster pals are all transformed into humans and Johnny becomes a monster. In their new mismatched bodies Drac and Johnny must team up and race across the globe to find a cure before it's too late and before they drive each other crazy.",2022-02-25,SelenaGomez AndySamberg KathrynHahn JimGaffigan SteveBuscemi,/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg
225,760161,Orphan: First Kill,Horror Thriller,After escaping from an Estonian psychiatric facility Leena Klammer travels to America by impersonating Esther the missing daughter of a wealthy family. But when her mask starts to slip she is put against a mother who will protect her family from the murderous “child” at any cost.,2022-07-27,IsabelleFuhrman JuliaStiles RossifSutherland MatthewFinlan HiroKanagawa,/pHkKbIRoCe7zIFvqan9LFSaQAde.jpg
